transaction_id,award_id_piid,parent_award_id,generated_award_id,modification_number,action_date,fiscal_year,action_type_code,action_type_description,transaction_description,transaction_obligated_amount,recipient_name_raw,recipient_uei,recipient_duns,parent_recipient_name,parent_recipient_uei,parent_recipient_duns,recipient_location_city,recipient_location_state,recipient_location_country,awarding_agency,awarding_subagency,awarding_office,funding_agency,funding_subagency,award_type_code,award_type_description,psc_code,psc_description,naics_code,naics_description,period_of_performance_start,period_of_performance_current_end,place_of_performance_city,place_of_performance_state,place_of_performance_country,current_award_amount,potential_award_amount,extent_competed,extent_competed_description,contract_pricing_type,contract_pricing_type_description,set_aside_type,set_aside_type_description,number_of_offers_received,award_detail_available
291817757,80NM0018F0740,80NM0018D0004,CONT_AWD_80NM0018F0740_8000_80NM0018D0004_8000,P00005,2019-12-31,2020,C,C,SUBSEASONAL PREDICTION OF ATMOSPHERIC RIVERS AND MADDEN-JULIAN OSCILLATION FOR WATER MANAGEMENT IN CALIFORNIA  82-19834,1264720.0,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,,PASADENA,CA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MANAGEMENT OFFICE -- JPL,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2018-10-01,2022-06-30,PASADENA,CA,UNITED STATES,2277977.69,2277977.69,C,NOT COMPETED,U,COST PLUS FIXED FEE,,,,True
311434256,NNN16AA05T,NNN06AA01C,CONT_AWD_NNN16AA05T_8000_NNN06AA01C_8000,22,2019-12-31,2020,C,C,"MINIATURE RADIO FREQUENCY SYNTHETIC APERTURE RADAR TECHNICAL AND SCIENCE SUPPORT      THE CONTRACTOR SHALL PERFORM THE WORK THAT IS DESIGNATED IN TASK ORDERS ISSUED BY THE CONTRACTING OFFICER.     THE OVERALL SCOPE OF WORK TO BE PERFORMED WILL SUPPORT ALL OF NASA'S MISSION DIRECTORATES. THESE EFFORTS CAN BE CHARACTERIZED AS AEROSPACE RESEARCH, DEVELOPMENT, AND ENGINEERING SUPPORT (ARDES). THE GENERAL NATURE OF THE TASKS TO BE DEVELOPED WILL BE TO CONDUCT SUPPORTING RESEARCH AND ADVANCED TECHNOLOGY DEVELOPMENT DESIGNED TO MAKE CONTRIBUTIONS TO SPACE SCIENCE AND SPACE EXPLORATION AND ASSIST NASA IN THE FORMULATION AND EXECUTION OF ITS PROGRAMS BY PROVIDING NASA WITH TECHNICAL ADVICE, STUDIES, AND REPORTS OF INVESTIGATIONS. EFFORTS UNDERTAKEN BY THE CONTRACTOR, IN THE PERFORMANCE OF THE ASSIGNED TASKS, WHICH INCLUDE TECHNOLOGY TRANSFER, PARTNERING AND COMMERCIALIZATION ACTIVITIES, SHALL SEEK TO ENHANCE THE VALUE AND CONTRIBUTION OF TECHNOLOGY TO THE NATION IS TECHNOLOGICAL COMPETITIVENESS, PROSPERITY, QUALITY OF LIFE, AND OTHER NATIONAL PRIORITIES.  INDIVIDUAL TASK ORDERS WILL FALL WITHIN ONE OF TWO BROAD CATEGORIES:  1)  ESSENTIAL RESEARCH CAPABILITY OF SPACE SYSTEMS ENGINEERING, AND RELATED WORK IN THE SUPPORTING ESSENTIAL RESEARCH CAPABILITIES OF SYSTEMS TEST AND EVALUATION, INFORMATION TECHNOLOGY, AND SIMULATION, MODELING AND OPERATIONS ANALYSIS.  TASK ORDERS WITHIN THE CATEGORY OF ESSENTIAL RESEARCH CAPABILITIES ARE INTENDED TO PRESERVE THE NATION IS CAPABILITIES TO PERFORM ROBOTIC SPACE MISSIONS OVER THE FULL MISSION LIFE CYCLE FROM CONCEPT FORMULATION THROUGH MISSION OPERATIONS AND DATA ANALYSIS. NASA IS CONTRACTING FOR SUPPORT IN SEVERAL KEY RESEARCH, ENGINEERING AND DEVELOPMENT COMPETENCIES THAT ARE FUNDAMENTAL TO THE PERFORMANCE OF THESE MISSIONS.  2) OTHER AEROSPACE RESEARCH, DEVELOPMENT, AND ENGINEERING SUPPORT.  TASK ORDERS WITHIN THE CATEGORY OF OTHER AEROSPACE RESEARCH, DEVELOPMENT AND ENGINEERING SUPPORT ARE INTENDED TO INCLUDE A BROAD BASE OF SCIENTIFIC AND TECHNICAL CAPABILITIES RELEVANT TO NASA PROGRAM RESPONSIBILITIES AND ASSIGNMENTS.  REGARDLESS OF CATEGORY, TASK ORDERS MAY BE ISSUED RELATED TO AUTONOMOUS DEEP-SPACE AND EARTH-ORBITING SPACECRAFT OR MAJOR SUBSYSTEMS, EXPERIMENTS, INSTRUMENTS OR OTHER DEVICES THAT MAY BE CARRIED AS PAYLOADS ON THE SPACE SHUTTLE OR ON OTHER SPACECRAFT. TASK ASSIGNMENTS WILL EXPLICITLY DESCRIBE A BROAD RANGE OF HARDWARE, SOFTWARE, SYSTEMS ENGINEERING, SCIENTIFIC ANALYSIS, AND MANAGEMENT EFFORTS INCLUDING PROGRAM AND PROJECT MANAGEMENT AND ADMINISTRATION",250000.0,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,C1HBCJ9RMBV3,,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,C1HBCJ9RMBV3,,LAUREL,MD,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MARSHALL SPACE FLIGHT CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,AR21,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2016-01-06,2020-08-14,GREENBELT,MD,UNITED STATES,5446201.56,5562028.0,C,NOT COMPETED,U,COST PLUS FIXED FEE,,,,True
291831544,80NSSC20P0383,,CONT_AWD_80NSSC20P0383_8000_-NONE-_-NONE-,0,2019-12-31,2020,,,VACUUM JACKET PIPE SPOOLS TO REPLACE EIGHT (8) EXISTING SPOOLS OF THE ISP HYDROGEN / CRYOGENIC PROPELLANT TRANSFER LINE.,124422.0,KENDALL HOLDINGS LTD,EVRRFFF9BGV6,148219459,KENDALL HOLDINGS LTD,EVRRFFF9BGV6,148219459,COLUMBUS,OH,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA SHARED SERVICES CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,B,PURCHASE ORDER,4710,"PIPE, TUBE AND RIGID TUBING",332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,2019-12-31,2020-04-10,COLUMBUS,OH,UNITED STATES,124422.0,124422.0,C,NOT COMPETED,J,FIRM FIXED PRICE,,NO SET ASIDE USED.,1.0,True
309443347,MSFC0200308DNAS803060,,CONT_AWD_MSFC0200308DNAS803060_8000_-NONE-_-NONE-,152,2019-12-31,2020,C,C,FOLLOW ON CONTRACT TO PROVIDE OPERATIONS AND SCIENCE SUPPORT TO THE CXO,5000000.0,SMITHSONIAN INSTITUTION,Q7N8CH7NR418,,SMITHSONIAN INSTITUTION,Q7N8CH7NR418,,CAMBRIDGE,MA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MARSHALL SPACE FLIGHT CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,D,DEFINITIVE CONTRACT,AR91,R&D- SPACE: OTHER (BASIC RESEARCH),541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2003-08-31,2027-09-30,CAMBRIDGE,MA,UNITED STATES,1347228052.0,1611469193.0,C,NOT COMPETED,U,COST PLUS FIXED FEE,,NO SET ASIDE USED.,1.0,True
291815805,80MSFC18F0253,NNM13AA79C,CONT_AWD_80MSFC18F0253_8000_NNM13AA79C_8000,P00002,2019-12-31,2020,K,K,THE PURPOSE OF THIS PROCUREMENT IS TO CONSTRUCT OFFICE SPACE IN BUILDING 4601 IN ACCORDANCE WITH ATTACHED DRAWINGS (FAC-W-4601) PER FWR R000541577.,0.0,"VEC VALLEY ELECTRIC, INC.",CYNVPDCE9TD3,111479820,"VEC VALLEY ELECTRIC, INC.",CYNVPDCE9TD3,111479820,KILLEN,AL,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MARSHALL SPACE FLIGHT CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2018-09-21,2019-12-31,HUNTSVILLE,AL,UNITED STATES,42333.0,42333.0,D,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,J,FIRM FIXED PRICE,,,2.0,True
311351397,NND15SA10C,,CONT_AWD_NND15SA10C_8000_-NONE-_-NONE-,37,2019-12-31,2020,C,C,OCCUPATIONAL HEALTH SERVICES (OHS),89077.62,"PROFESSIONAL MANAGEMENT ENTERPRISES, INC",T1JHH84SB9H8,,"PROFESSIONAL MANAGEMENT ENTERPRISES, INC",T1JHH84SB9H8,,INDIANAPOLIS,IN,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA ARMSTRONG FLIGHT RESEARCH CNTR,National Aeronautics and Space Administration,National Aeronautics and Space Administration,D,DEFINITIVE CONTRACT,Q999,MEDICAL- OTHER,621111,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),2015-10-01,2020-09-30,EDWARDS,CA,UNITED STATES,5106692.83,5641170.92,F,COMPETED UNDER SAP,J,FIRM FIXED PRICE,SDVOSBC,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,2.0,True
291831550,80NSSC20P0389,,CONT_AWD_80NSSC20P0389_8000_-NONE-_-NONE-,0,2019-12-31,2020,,,OT.THIS IS A PURCHASE ORDER FOR THE RENEWAL OF SPRINGER NATURE ELECTRONIC JOURNAL,34067.3,SPRINGER NATURE CUSTOMER SERVICE CENTER LLC,X4KMCS94UED8,79083884,SPRINGER HEALTHCARE LLC,H6V3HJNJ1DM8,326982162,NEW YORK,NY,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA SHARED SERVICES CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,B,PURCHASE ORDER,R605,SUPPORT- ADMINISTRATIVE: LIBRARY,511199,ALL OTHER PUBLISHERS,2020-01-01,2020-12-31,NEW YORK,NY,UNITED STATES,40871.3,40871.3,F,COMPETED UNDER SAP,J,FIRM FIXED PRICE,,NO SET ASIDE USED.,1.0,True
291816129,80MSFC20F0044,80MSFC19D0021,CONT_AWD_80MSFC20F0044_8000_80MSFC19D0021_8000,0,2019-12-31,2020,,,2020 UPDATE OF THE NATURAL RESOURCES MANAGEMENT PLAN FOR MARSHALL SPACE FLIGHT CENTER,24969.0,"CH2M HILL, INC",NBG7N3TRX7K4,,JACOBS ENGINEERING GROUP INC,MKCAUUG2K7H6,,ENGLEWOOD,CO,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MARSHALL SPACE FLIGHT CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,2019-12-31,2021-04-28,HUNTSVILLE,AL,UNITED STATES,24969.0,24969.0,A,FULL AND OPEN COMPETITION,J,FIRM FIXED PRICE,,,,True
299989921,GSFC0199708DNAS597181,,CONT_AWD_GSFC0199708DNAS597181_8000_-NONE-_-NONE-,229,2019-12-31,2020,B,B,SOLAR X-RAY IMAGER INSTRUMENT,0.0,LOCKHEED MARTIN CORPORATION,HDHVQ4EF8A89,,LOCKHEED MARTIN CORPORATION,HDHVQ4EF8A89,,PALO ALTO,CA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA GODDARD SPACE FLIGHT CENTER,Department of Commerce,National Oceanic and Atmospheric Administration,D,DEFINITIVE CONTRACT,AR45,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (OPERATIONAL SYSTEMS DEVELOPMENT)",541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",1997-09-15,2021-12-31,PALO ALTO,CA,UNITED STATES,98459910.55,51379031.0,A,FULL AND OPEN COMPETITION,R,COST PLUS AWARD FEE,,,4.0,True
291803344,80ARC018F0067,SPE60017D7517,CONT_AWD_80ARC018F0067_8000_SPE60017D7517_9700,P00012,2019-12-31,2020,M,M,NATURAL GAS SERVICES,0.0,"TIGER NATURAL GAS, INC.",DJV1FLB5L1S5,,"TIGER NATURAL GAS, INC.",DJV1FLB5L1S5,,TULSA,OK,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA AMES RESEARCH CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,2018-05-01,2020-09-30,MOFFETT FIELD,CA,UNITED STATES,2054827.38,3741700.0,A,FULL AND OPEN COMPETITION,J,FIRM FIXED PRICE,,,,True
291815778,80MSFC18F0213,NNM17AA11C,CONT_AWD_80MSFC18F0213_8000_NNM17AA11C_8000,P00002,2019-12-31,2020,K,K,"TASK ORDER NO. KSW-114 ""2019 GROUNDWATER MONITORING AT MICHOUD ASSEMBLY FACILITY""",0.0,"ATHENA ENGINEERING & ENVIRONMENTAL, LLC",WD7KMH37BQG7,176182335,"ATHENA ENGINEERING & ENVIRONMENTAL, LLC",WD7KMH37BQG7,176182335,NASHVILLE,TN,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MARSHALL SPACE FLIGHT CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,2018-09-10,2019-12-31,NEW ORLEANS,LA,UNITED STATES,168285.0,168285.0,D,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,J,FIRM FIXED PRICE,,,,True
291815786,80MSFC18F0222,NNM17AA11C,CONT_AWD_80MSFC18F0222_8000_NNM17AA11C_8000,P00001,2019-12-31,2020,K,K,"TASK ORDER KSW-115 ""TECHNICAL SUPPORT FOR MICHOUD ASSEMBLY FACILITY (MAF) REMEDIATION 2019""",0.0,"ATHENA ENGINEERING & ENVIRONMENTAL, LLC",WD7KMH37BQG7,176182335,"ATHENA ENGINEERING & ENVIRONMENTAL, LLC",WD7KMH37BQG7,176182335,NASHVILLE,TN,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MARSHALL SPACE FLIGHT CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,2018-09-12,2019-12-31,NEW ORLEANS,LA,UNITED STATES,72218.0,72218.0,D,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,J,FIRM FIXED PRICE,,,,True
291831546,80NSSC20P0385,,CONT_AWD_80NSSC20P0385_8000_-NONE-_-NONE-,0,2019-12-31,2020,,,"NORMAN FILTER 4900 SERIES WITH C25 ENDS, 4 UNITS, PLUS 4 SPARE FILTER ELEMENTS",71164.0,"NORMAN FILTER COMPANY, L.L.C.",LDLCJJDT38D9,17363958,"NORMAN FILTER COMPANY, L.L.C.",LDLCJJDT38D9,17363958,BRIDGEVIEW,IL,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA SHARED SERVICES CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,B,PURCHASE ORDER,4820,"VALVES, NONPOWERED",333999,ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,2019-12-31,2019-12-31,BRIDGEVIEW,IL,UNITED STATES,71164.0,71164.0,C,NOT COMPETED,J,FIRM FIXED PRICE,,NO SET ASIDE USED.,1.0,True
