LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
148000,RIVERTON,WY,82501,721110,Corporation,Unanswered,Unanswered,Non-Veteran,,43,04/04/2020,Wyoming Community Bank,WY - 00
148000,RAWLINS,WY,82301,213112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/08/2020,Security State Bank,WY - 00
147800,CASPER,WY,82609,722511,Corporation,White,Male Owned,Unanswered,,33,04/03/2020,Platte Valley Bank,WY - 00
147600,POWELL,WY,82435,213111,Corporation,Unanswered,Male Owned,Non-Veteran,,17,04/10/2020,"Bank of Bridger, National Association",WY - 00
147600,SHERIDAN,WY,82801,541940,Subchapter S Corporation,White,Female Owned,Non-Veteran,,18,04/03/2020,Security State Bank,WY - 00
147500,GILLETTE,WY,82718,561720,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,35,04/27/2020,Pinnacle Bank-Wyoming,WY - 00
147400,JACKSON,WY,83001,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,04/15/2020,Bank of Jackson Hole,WY - 00
147236.1,CHEYENNE,WY,82009,621210,Corporation,Unanswered,Male Owned,Unanswered,,12,04/05/2020,Cache Valley Bank,WY - 00
147000,SHERIDAN,WY,82801,236115,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,20,04/03/2020,Security State Bank,WY - 00
147000,CASPER,WY,82604,484110,Corporation,White,Male Owned,Non-Veteran,,12,04/06/2020,Jonah Bank of Wyoming,WY - 00
146845,CHEYENNE,WY,82007,813410,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,24,04/08/2020,Wyoming Bank & Trust,WY - 00
146400,DUBOIS,WY,82513,721191,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/10/2020,Bank of Jackson Hole,WY - 00
146300,CHEYENNE,WY,82007,484220,Corporation,Unanswered,Unanswered,Unanswered,,16,04/10/2020,Platte Valley Bank,WY - 00
146100,JACKSON,WY,83002,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15,04/05/2020,Bank of Jackson Hole,WY - 00
146030,CHEYENNE,WY,82001,517110,Corporation,Unanswered,Unanswered,Unanswered,,4,04/30/2020,BMO Harris Bank National Association,WY - 00
146000,WORLAND,WY,82401,624190,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,20,04/15/2020,Jonah Bank of Wyoming,WY - 00
145952,SHERIDAN,WY,82801,237120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/30/2020,"U.S. Bank, National Association",WY - 00
145800,GREEN RIVER,WY,82935,441310,Corporation,Unanswered,Unanswered,Unanswered,,13,04/10/2020,Farmers State Bank,WY - 00
145762,WILSON,WY,83014,561312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/21/2020,"Wells Fargo Bank, National Association",WY - 00
145730,EVANSTON,WY,82930,812990,Professional Association,Unanswered,Unanswered,Unanswered,,17,05/03/2020,"U.S. Bank, National Association",WY - 01
145700,PINEDALE,WY,82941,447110,Partnership,Unanswered,Unanswered,Unanswered,,,04/08/2020,Rocky Mountain Bank,WY - 00
145602.75,LANDER,WY,82520,332323,Corporation,White,Male Owned,Non-Veteran,,28,04/08/2020,First Interstate Bank,WY - 00
145600,RIVERTON,WY,82501,541211,Subchapter S Corporation,White,Male Owned,Unanswered,,10,04/06/2020,Wyoming Community Bank,WY - 00
145400,CHEYENNE,WY,82009,238310,Corporation,White,Male Owned,Non-Veteran,,14,04/03/2020,Platte Valley Bank,WY - 00
145400,CODY,WY,82414,611691,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/05/2020,Security State Bank,WY - 00
145382,CHEYENNE,WY,82001,621210,Subchapter S Corporation,White,Female Owned,Unanswered,,16,04/09/2020,Western States Bank,WY - 00
145358,JACKSON,WY,83001,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/15/2020,"U.S. Bank, National Association",WY - 00
145335,CHEYENNE,WY,82001,532411,Corporation,Unanswered,Unanswered,Unanswered,,9,04/11/2020,"Sunflower Bank, National Association",WY - 00
145316,CODY,WY,82414,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/04/2020,Glacier Bank,WY - 00
145270,CHEYENNE,WY,82001,713940,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,42,04/04/2020,First State Bank,WY - 00
145180,ROCK SPRINGS,WY,82901,441210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,17,04/08/2020,RSNB Bank,WY - 00
145100,CODY,WY,82414,621340,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/04/2020,Pinnacle Bank-Wyoming,WY - 00
145100,JACKSON,WY,83001,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,117,04/05/2020,Bank of Jackson Hole,WY - 00
145054,GILLETTE,WY,82716,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/07/2020,First National Bank of Gillette,WY - 00
144887,SHERIDAN,WY,82801,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,05/03/2020,"Bank of America, National Association",WY - 00
144832,LARAMIE,WY,82070,621493,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/13/2020,First Interstate Bank,WY - 02
144622,CASPER,WY,82604,722511,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,43,04/30/2020,First Interstate Bank,WY - 00
144459.33,MOOSE,WY,83012,721214,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,46,04/15/2020,First Interstate Bank,WY - 00
144196,BIG PINEY,WY,83113,237120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,05/06/2020,Bank of the West,WY - 00
144187,ROCK SPRINGS,WY,82901,621610,Corporation,Hispanic,Male Owned,Non-Veteran,,20,04/09/2020,RSNB Bank,WY - 00
144021.85,LARAMIE,WY,82070,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/08/2020,Wyoming Bank & Trust,WY - 02
144000,GLENROCK,WY,82637,562212,Corporation,White,Male Owned,Unanswered,,7,04/04/2020,Jonah Bank of Wyoming,WY - 00
143815,CASPER,WY,82604,541620,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/13/2020,First Interstate Bank,WY - 00
143684.38,CHEYENNE,WY,82007,721110,Limited  Liability Company(LLC),White,Male Owned,Veteran,,31,04/16/2020,First Interstate Bank,WY - 00
143565,ROCK SPRINGS,WY,82901,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,04/07/2020,Rocky Mountain Bank,WY - 00
143300,SHERIDAN,WY,82801,236210,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,14,04/03/2020,Security State Bank,WY - 00
143286.65,CASPER,WY,82601,333132,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,04/16/2020,First Interstate Bank,WY - 00
143250,SHERIDAN,WY,82801,722410,Corporation,White,Male Owned,Non-Veteran,,13,04/14/2020,First Interstate Bank,WY - 00
143236,CHEYENNE,WY,82001,561320,Corporation,Unanswered,Unanswered,Unanswered,,4,04/10/2020,Sandy Spring Bank,WY - 00
143235,LARAMIE,WY,82070,115310,Subchapter S Corporation,White,Female Owned,Non-Veteran,,11,04/10/2020,First Interstate Bank,WY - 02
143200,LANDER,WY,82520,444130,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,34,04/10/2020,Wyoming Community Bank,WY - 00
143000,WORLAND,WY,82401,444130,Corporation,White,Female Owned,Non-Veteran,,25,04/04/2020,Pinnacle Bank-Wyoming,WY - 00
142910,ROCK SPRINGS,WY,82901,541211,Corporation,White,Female Owned,Non-Veteran,,11,04/07/2020,RSNB Bank,WY - 00
142862,LYMAN,WY,82937,213112,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,15,04/08/2020,Glacier Bank,WY - 00
142800,JACKSON,WY,83001,722511,Corporation,Unanswered,Male Owned,Unanswered,,23,04/15/2020,"Zions Bank, A Division of",WY - 00
142700,CHEYENNE,WY,82007,238220,Corporation,Unanswered,Male Owned,Unanswered,,15,04/08/2020,Jonah Bank of Wyoming,WY - 00
142700,CHEYENNE,WY,82007,238910,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,11,04/08/2020,Jonah Bank of Wyoming,WY - 00
142595,CHEYENNE,WY,82001,813110,Corporation,Unanswered,Unanswered,Unanswered,,14,04/10/2020,First Interstate Bank,WY - 00
142381.41,JACKSON,WY,83001,711310,Professional Association,Unanswered,Unanswered,Unanswered,,37,04/13/2020,First Interstate Bank,WY - 00
142070,GILLETTE,WY,82716,722511,Corporation,Unanswered,Unanswered,Unanswered,,31,04/06/2020,First Northern Bank of Wyoming,WY - 00
141830,CHEYENNE,WY,82009,621210,Subchapter S Corporation,White,Female Owned,Unanswered,,9,04/15/2020,Western States Bank,WY - 00
141800,CHEYENNE,WY,82009,624410,Non-Profit Childcare Center,Unanswered,Unanswered,Non-Veteran,Y,36,04/03/2020,Jonah Bank of Wyoming,WY - 00
141700,JACKSON,WY,83001,811121,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,9,04/10/2020,Bank of Jackson Hole,WY - 00
141700,DOUGLAS,WY,82633,446110,Corporation,White,Male Owned,Non-Veteran,,18,04/05/2020,The Converse County Bank,WY - 00
141610,CASPER,WY,82601,722511,Corporation,White,Male Owned,Non-Veteran,,55,04/27/2020,"Harvest Small Business Finance, LLC",WY - 00
141500,GILLETTE,WY,82716,236210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,13,04/04/2020,First National Bank of Gillette,WY - 00
141500,GILLETTE,WY,82716,541211,Limited Liability Partnership,Unanswered,Male Owned,Unanswered,,11,04/04/2020,First National Bank of Gillette,WY - 00
141340,CASPER,WY,82604,541350,Corporation,Unanswered,Unanswered,Unanswered,,14,04/28/2020,First Interstate Bank,WY - 00
141240,GILLETTE,WY,82718,621340,Corporation,Unanswered,Unanswered,Unanswered,,9,04/06/2020,First Interstate Bank,WY - 00
141200,RAWLINS,WY,82301,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/13/2020,First Interstate Bank,WY - 00
141200,CHEYENNE,WY,82001,713990,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,92,04/07/2020,Midwest Regional Bank,WY - 00
141100,ALPINE,WY,83128,722511,Corporation,White,Female Owned,Non-Veteran,,35,04/15/2020,Bank of Jackson Hole,WY - 00
141000,CASPER,WY,82604,332710,Corporation,White,Male Owned,Unanswered,,11,04/05/2020,Jonah Bank of Wyoming,WY - 00
140900,RAWLINS,WY,82301,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,29,04/04/2020,Bank of Commerce,WY - 00
140711,JACKSON,WY,83001,444190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/13/2020,First Interstate Bank,WY - 00
140620,PINE HAVEN,WY,82721,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,04/05/2020,First National Bank of Gillette,WY - 00
140600,CODY,WY,82414,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/06/2020,Pinnacle Bank-Wyoming,WY - 00
140600,CHEYENNE,WY,82001,541110,Partnership,Unanswered,Unanswered,Unanswered,,13,04/07/2020,Jonah Bank of Wyoming,WY - 00
140585,SHERIDAN,WY,82801,541940,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/10/2020,First Interstate Bank,WY - 00
140500,JACKSON,WY,83001,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,,04/06/2020,Rocky Mountain Bank,WY - 00
140494,CASPER,WY,82601,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,29,04/06/2020,First Interstate Bank,WY - 00
140232,SHERIDAN,WY,82801,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,38,04/28/2020,First Interstate Bank,WY - 00
140047,ROCK SPRINGS,WY,82901,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/07/2020,Rocky Mountain Bank,WY - 00
140000,AFTON,WY,83110,213111,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,16,04/04/2020,Bank of Star Valley,WY - 00
140000,JACKSON,WY,83001,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/27/2020,Bank of Jackson Hole,WY - 00
139993.9,SADDLESTRING,WY,82840,721214,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,7,04/08/2020,First Northern Bank of Wyoming,WY - 00
139700,ALPINE,WY,83128,238110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15,04/10/2020,Bank of Jackson Hole,WY - 00
139600,CHEYENNE,WY,82007,441228,Subchapter S Corporation,White,Male Owned,Non-Veteran,,12,04/08/2020,Jonah Bank of Wyoming,WY - 00
139167.58,CHEYENNE,WY,82001,722513,Corporation,Unanswered,Unanswered,Unanswered,,36,04/27/2020,First Interstate Bank,WY - 00
139100,ROCK SPRINGS,WY,82901,541511,Corporation,Unanswered,Female Owned,Unanswered,,14,04/06/2020,NebraskaLand National Bank,WY - 00
138900,CODY,WY,82414,332322,Corporation,Unanswered,Male Owned,Non-Veteran,,13,04/13/2020,Pinnacle Bank-Wyoming,WY - 00
138700,GREYBULL,WY,82426,111991,Corporation,White,Male Owned,Non-Veteran,,11,04/15/2020,Pinnacle Bank-Wyoming,WY - 00
138600,JACKSON,WY,83001,424910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/05/2020,Bank of Jackson Hole,WY - 00
138600,JACKSON,WY,83001,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,04/07/2020,Bank of Jackson Hole,WY - 00
138500,RIVERTON,WY,82501,484121,Subchapter S Corporation,White,Male Owned,Unanswered,,11,04/04/2020,Wyoming Community Bank,WY - 00
138488.92,GILLETTE,WY,82718,441228,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/06/2020,First Northern Bank of Wyoming,WY - 00
138400,JACKSON,WY,83001,445110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,04/05/2020,Bank of Jackson Hole,WY - 00
138100,GILLETTE,WY,82718,236117,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,9,04/07/2020,First National Bank of Gillette,WY - 00
138000,CASPER,WY,82601,442110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/06/2020,First Interstate Bank,WY - 00
138000,CASPER,WY,82601,812199,Corporation,Unanswered,Female Owned,Unanswered,,34,04/06/2020,Platte Valley Bank,WY - 00
137947,MOUNTAIN VIEW,WY,82939,237990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/06/2020,Glacier Bank,WY - 00
137907.5,POWELL,WY,82435,111991,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/15/2020,Glacier Bank,WY - 00
137836.8,JACKSON,WY,83002,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/15/2020,First Interstate Bank,WY - 00
137750,EVANSTON,WY,82930,621493,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/13/2020,Legacy Bank & Trust Company,WY - 01
137700,DOUGLAS,WY,82633,213112,Subchapter S Corporation,White,Male Owned,Unanswered,,12,04/05/2020,The Converse County Bank,WY - 00
137700,LANDER,WY,82520,541940,Subchapter S Corporation,White,Female Owned,Unanswered,,13,04/07/2020,Wyoming Community Bank,WY - 00
137700,LANDER,WY,82520,238910,Corporation,White,Male Owned,Non-Veteran,,12,04/08/2020,Wyoming Community Bank,WY - 00
137600,RIVERTON,WY,82501,621320,Corporation,Unanswered,Male Owned,Unanswered,,12,04/06/2020,Central Bank & Trust,WY - 00
137465,JACKSON,WY,83001,531210,Corporation,Unanswered,Unanswered,Unanswered,,9,05/03/2020,"U.S. Bank, National Association",WY - 00
137300,JACKSON,WY,83001,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/09/2020,Bank of Jackson Hole,WY - 00
137047,JACKSON,WY,83002,541690,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/29/2020,Bank of the West,WY - 00
136960,CASPER,WY,82601,236118,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,05/13/2020,Hilltop National Bank,WY - 00
136900,CODY,WY,82414,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/10/2020,Jonah Bank of Wyoming,WY - 00
136863,CHEYENNE,WY,82009,621610,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,25,04/11/2020,First Interstate Bank,WY - 00
136857,JACKSON,WY,83001,541620,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,04/14/2020,"U.S. Bank, National Association",WY - 00
136712.5,POWELL,WY,82435,213112,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,13,04/06/2020,Glacier Bank,WY - 00
136700,JACKSON,WY,83001,713990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,108,04/14/2020,Bank of Jackson Hole,WY - 00
136663,CHEYENNE,WY,82001,541110,Partnership,White,Male Owned,Non-Veteran,,12,04/09/2020,Western States Bank,WY - 00
136561.87,CHEYENNE,WY,82007,332321,Subchapter S Corporation,White,Male Owned,Unanswered,,18,04/08/2020,Western States Bank,WY - 00
136300,WORLAND,WY,82401,238220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,11,04/03/2020,Security State Bank,WY - 00
135982,CODY,WY,82414,112120,Partnership,Unanswered,Unanswered,Unanswered,,15,04/07/2020,Glacier Bank,WY - 00
135900,LARAMIE,WY,82072,238910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/12/2020,First Interstate Bank,WY - 00
135900,CASPER,WY,82601,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,79,04/06/2020,Glacier Bank,WY - 00
135800,SHERIDAN,WY,82801,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,17,04/04/2020,First Federal Bank & Trust,WY - 00
135800,ROCK SPRINGS,WY,82901,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/04/2020,NebraskaLand National Bank,WY - 00
135700,CHEYENNE,WY,82001,532310,Subchapter S Corporation,White,Female Owned,Non-Veteran,,17,04/08/2020,Pinnacle Bank-Wyoming,WY - 00
135600,JACKSON,WY,83001,541310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/09/2020,Bank of Jackson Hole,WY - 00
135100,EVANSVILLE,WY,82636,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/04/2020,First State Bank,WY - 00
135100,PINEDALE,WY,82941,811192,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,30,04/06/2020,Glacier Bank,WY - 00
135000,JACKSON,WY,83001,712120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/07/2020,Rocky Mountain Bank,WY - 00
134900,GLENROCK,WY,82637,924110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,9,04/05/2020,Hilltop National Bank,WY - 00
134800,GILLETTE,WY,82718,722513,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,24,04/03/2020,Security State Bank,WY - 00
134758,CASPER,WY,82601,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,05/03/2020,"Wells Fargo Bank, National Association",WY - 00
134600,JACKSON,WY,83001,238330,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,12,04/05/2020,Security State Bank,WY - 00
134500,WORLAND,WY,82401,441320,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,10,04/04/2020,Security State Bank,WY - 00
134417,UPTON,WY,82730,237110,Corporation,Unanswered,Unanswered,Unanswered,,15,04/06/2020,First State Bank of Newcastle,WY - 00
134300,JACKSON,WY,83001,812320,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,17,04/07/2020,Bank of Jackson Hole,WY - 00
134300,JACKSON,WY,83001,453998,Sole Proprietorship,Unanswered,Female Owned,Non-Veteran,,8,04/14/2020,"Readycap Lending, LLC",WY - 00
134230,CASPER,WY,82601,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/16/2020,First Interstate Bank,WY - 00
134212,CASPER,WY,82605,423910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/07/2020,First Interstate Bank,WY - 00
133900,JACKSON,WY,83001,621111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/06/2020,Rocky Mountain Bank,WY - 00
133842,EVANSTON,WY,82930,541330,Corporation,Unanswered,Unanswered,Unanswered,,9,04/15/2020,Glacier Bank,WY - 01
133800,GILLETTE,WY,82718,238210,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,13,04/06/2020,First National Bank of Gillette,WY - 00
133794,CHEYENNE,WY,82001,531210,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,6,04/14/2020,Western States Bank,WY - 00
133600,TORRINGTON,WY,82240,811121,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,15,04/04/2020,Glacier Bank,WY - 00
133300,JACKSON,WY,83001,541890,Corporation,Unanswered,Unanswered,Unanswered,,6,06/04/2020,"Citibank, N.A.",WY - 00
133200,DOUGLAS,WY,82633,236115,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,04/04/2020,The Converse County Bank,WY - 00
133200,CASPER,WY,82601,213111,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,9,04/05/2020,Hilltop National Bank,WY - 00
133200,GILLETTE,WY,82718,238210,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,5,04/06/2020,Security State Bank,WY - 00
133112.75,JACKSON,WY,83001,236118,Corporation,White,Male Owned,Non-Veteran,,14,04/09/2020,First Interstate Bank,WY - 00
133100,JACKSON,WY,83001,541690,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/09/2020,Bank of Jackson Hole,WY - 00
132912.5,PINEDALE,WY,82941,722511,Corporation,Unanswered,Unanswered,Unanswered,,25,04/29/2020,Glacier Bank,WY - 00
132800,GILLETTE,WY,82718,722511,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,42,04/06/2020,First National Bank of Gillette,WY - 00
132700,LARAMIE,WY,82070,238220,Corporation,Unanswered,Unanswered,Unanswered,,15,04/06/2020,ANB Bank,WY - 02
132600,LANDER,WY,82520,722511,Corporation,White,Male Owned,Non-Veteran,,32,04/03/2020,Central Bank & Trust,WY - 00
132407,SHERIDAN,WY,82801,238210,Corporation,White,Male Owned,Non-Veteran,,12,04/07/2020,First Northern Bank of Wyoming,WY - 00
132241,MILLS,WY,82644,484121,Corporation,White,Male Owned,Non-Veteran,,8,05/01/2020,First Iowa State Bank,WY - 00
132000,ROCKSPRINGS,WY,82901,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,05/04/2020,Grand County CU d/b/a Desert Rivers CU,WY - 00
132000,LARAMIE,WY,82072,424820,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/27/2020,ANB Bank,WY - 00
131910,JACKSON,WY,83001,713990,Corporation,Unanswered,Unanswered,Unanswered,,0,04/29/2020,"Wells Fargo Bank, National Association",WY - 00
131800,ETNA,WY,83118,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/08/2020,Glacier Bank,WY - 00
131600,CHEYENNE,WY,82001,327320,Corporation,Unanswered,Unanswered,Unanswered,,11,04/28/2020,ANB Bank,WY - 00
131500,JACKSON,WY,83001,236118,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/12/2020,First Interstate Bank,WY - 00
131500,BIG PINEY,WY,83113,213112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/04/2020,Bank of Star Valley,WY - 00
131500,CASPER,WY,82601,323111,Corporation,Unanswered,Unanswered,Unanswered,,13,04/04/2020,Glacier Bank,WY - 00
131500,HUDSON,WY,82515,484220,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,9,04/27/2020,Central Bank & Trust,WY - 00
131467,MOUNTAIN VIEW,WY,82939,441310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/08/2020,Glacier Bank,WY - 00
131300,LANDER,WY,82520,621210,Corporation,White,Male Owned,Non-Veteran,,16,04/03/2020,Central Bank & Trust,WY - 00
131300,CHEYENNE,WY,82001,238910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/27/2020,Western Vista FCU,WY - 00
